iter	Passed	Remaining
0	2	738
1	4	693
2	6	640
3	8	664
4	11	670
5	13	657
6	15	666
7	18	657
8	20	676
9	23	683
10	26	684
11	28	684
12	30	673
13	32	670
14	35	665
15	37	663
16	39	654
17	41	651
18	44	652
19	46	651
20	48	647
21	50	639
22	52	634
23	55	634
24	57	632
25	59	625
26	61	626
27	64	624
28	66	622
29	69	626
30	72	629
31	76	640
32	79	640
33	81	639
34	84	643
35	87	641
36	89	639
37	92	634
38	94	634
39	97	634
40	100	636441	103	634442	106	635443	109	634444	111	63245	112	622
46	116	627
47	119	628
48	122	625
49	124	622
50	127	622
51	130	620
52	132	616
53	134	611
554	138	616555	142	620556	144	617557	146	612558	150	614
59	153	614660	159	623
61	163	628
62	167	630
63	171	633
64	175	634
65	178	634
66	182	634
67	186	636
68	190	637
69	194	637
70	197	638
71	201	638
72	204	637
73	209	638
74	212	637
75	216	638
76	219	636
77	223	635
78	226	633
79	228	628
80	230	624
81	233	619
82	235	615
83	238	612
84	240	608
85	242	603
86	244	598
87	247	596
88	250	593
89	254	593
90	257	590
91	259	585
92	261	583
93	266	584
94	270	582
95	273	581
96	275	577
97	280	577
98	282	574
99	285	571
100	288	569
101	291	565
102	293	561
103	296	558
104	300	557
105	303	555
106	306	552
107	309	550
108	312	547
109	315	544
110	317	540
111	319	537
112	322	533
113	324	529
114	326	525
115	328	521
116	331	518
117	335	517
118	339	515
119	342	513
120	344	510
121	347	507
122	352	507
123	355	504
124	359	503
125	362	500
126	367	500
127	371	498
128	374	496
129	378	494
130	382	493
131	386	492
132	390	490
133	394	489
134	398	486
135	401	484
136	404	481
137	408	479
138	411	476
139	414	473
140	416	469
141	419	466
142	422	463
143	424	459
144	426	456
145	430	453
146	434	452
147	438	450
148	442	448
149	446	446
150	450	445
151	453	442
152	457	439
153	461	437
154	463	433
155	468	432
156	472	430
157	476	427
158	479	425
159	483	423
160	486	420
161	490	417
162	494	415
163	498	412
164	501	410
165	503	406
166	505	402
167	508	399
168	511	396
169	514	393
170	516	389
171	518	386
172	521	382
173	523	379
174	525	375
175	527	371
176	530	368
177	533	365
178	537	363
179	540	360
180	545	358
181	548	355
182	552	353
183	558	352
184	562	349
185	566	347
186	570	344
187	574	341
188	577	339
189	582	337
190	585	334
191	589	331
192	593	329
193	597	326
194	600	323
195	603	320
196	606	317
197	609	313
198	612	310
199	614	307
200	617	304
201	619	300
202	621	297
203	623	293
204	626	290
205	630	287
206	634	284
207	637	281
208	640	279
209	644	276
210	647	273
211	652	270
212	655	267
213	658	264
214	662	261
215	667	259
216	671	256
217	674	253
218	679	251
219	682	248
220	685	245
221	689	242
222	694	239
223	698	237
224	702	234
225	705	230
226	708	227
227	710	224
228	712	221
229	715	217
230	718	214
231	720	211
232	723	207
233	725	204
234	728	201
235	731	198
236	734	195
237	737	192
238	740	188
239	743	185
240	746	182
241	748	179
242	751	176
243	754	173
244	757	170
245	759	166
246	762	163
247	765	160
248	768	157
249	770	154
250	773	150
251	776	147
252	779	144
253	782	141
254	785	138
255	788	135
256	791	132
257	794	129
258	796	126
259	798	122
260	800	119
261	803	116
262	806	113
263	808	110
264	810	107
265	813	104
266	818	101
267	821	98
268	825	95
269	827	91
270	830	88
271	832	85
272	835	82
273	838	79
274	840	76
275	843	73
276	845	70
277	848	67
278	850	64
279	853	60
280	855	57
281	857	54
282	859	51
283	862	48
284	865	45
285	867	42
286	869	39
287	871	36
288	873	33
289	875	30
290	877	27
291	879	24
292	880	21
293	881	17
294	883	14
295	884	11
296	885	8
297	886	5
298	888	2
299	889	0
