feature,description,pearson_abs_r,pearson_norm,mutual_info,mi_norm,rf_importance,rf_norm,ensemble_score,rank
critical_dimension,Critical Dimension (nm),0.6525168726685551,0.9999999998465555,0.3935170596149238,0.9999999997458814,0.5735383275172347,0.9999999998249568,0.9999999998057979,1
vth,Threshold Voltage Vth (V),0.5411209572790338,0.8290691175669912,0.2100628471574737,0.5338087434116576,0.09486677550460985,0.1621181632741863,0.5083320080842785,2
oxide_thickness,Oxide Thickness (Å),0.5071089554805359,0.7768795785234596,0.20397272181606407,0.5183326028198838,0.0308596883319208,0.05007813180161718,0.4484301043816535,3
tech_encoded,Technology Node (encoded),0.17607656885186018,0.2689286566993362,0.36139634725056524,0.9183752986779586,0.002250669702215271,0.0,0.39576798512576494,4
resistance,Resistance (Ω),0.20231993558449204,0.309197654120914,0.012235840815546517,0.03109354604451087,0.01477816089709964,0.021928517133741176,0.12073990576638867,5
defect_density,Defect Density (def/cm²),0.11936623537894556,0.18190978081867307,0.03764434551575402,0.09566127969909304,0.027727449948074714,0.04459536258640684,0.10738880770139098,6
thickness_uniformity,Thickness Uniformity (%),0.12255108944085812,0.18679676354897143,0.033913391121124015,0.08618023103164053,0.028421263228329413,0.045809835314186136,0.10626227663159937,7
defect_count,Defect Count (#),0.1225947172696388,0.18686370804365374,0.008009621328420202,0.02035393671172128,0.035037180176200014,0.05739054576050693,0.08820273017196066,8
focus_offset,Focus Offset (nm),0.07234977560075431,0.10976561894840887,0.014734424703071625,0.037442912166872025,0.01567124998416039,0.023491808541646227,0.05690011321897571,9
dose,Implant Dose (ions/cm²),0.0570082693750863,0.08622492461072818,0.00228771115785964,0.005813499316946844,0.021005154658142698,0.03282844412283314,0.04162228935016939,10
leakage_current,Leakage Current (A),0.046530403620329064,0.07014721806641838,0.003378511392258865,0.008585425482459047,0.015527801669821978,0.023240712071503772,0.03399111854012707,11
temperature,Process Temperature (°C),0.004850708516399117,0.006192026959580454,0.02383051701837413,0.060557773621397026,0.018150498407545842,0.027831563460269458,0.03152712134708232,12
implant_energy,Implant Energy (keV),0.02447434587214585,0.036303415110779516,0.001417080515522251,0.0036010650124008066,0.017297602621327037,0.026338627678440134,0.022081035933873488,13
etch_rate,Etch Rate (nm/min),0.006144818544874975,0.008177767353747712,0.012088062903549357,0.03071801489954802,0.017034218584087046,0.02587759192247572,0.02159112472525715,14
resistivity,Resistivity (Ω·cm),0.01750227358318697,0.025605155093781206,0.0,0.0,0.01605440344679514,0.024162492491012672,0.01658921586159796,15
deposition_rate,Deposition Rate (nm/min),0.014997141394077342,0.021761168051580154,0.0,0.0,0.01643298810590948,0.024825179062075715,0.015528782371218623,16
tilt_angle,Tilt Angle (°),0.0034713278666390116,0.004075443504627019,0.003900781236068518,0.009912610240822513,0.018376766647827465,0.028227630550371516,0.014071894765273684,17
pressure,Chamber Pressure (mTorr),0.0032841327245183363,0.0037882028936113534,0.0,0.0,0.0190050136231013,0.02932733394247121,0.011038512278694188,18
exposure_time,Exposure Time (s),0.0008153551497036928,0.0,0.0,0.0,0.017964786945597357,0.027506488238749252,0.009168829412916418,19
