model,R2_mean,R2_std,RMSE,MAE,category,use_std
Bagging (DT),0.6686360283592767,0.028145544114998693,0.10076383129490019,0.0827701069614488,ensemble,False
Gradient Boosting,0.6641538801795039,0.022623279503102448,0.10145688459945924,0.08284130957472827,boosting,False
AdaBoost,0.6634432196671092,0.029205300536957347,0.10158364860352903,0.08422561552538624,ensemble,False
Random Forest,0.6608554261514161,0.02460536457335732,0.10195234255324118,0.08390686574404874,ensemble,False
CatBoost (실제),0.6571370262992537,0.0244934452922018,0.10253499789313,0.08443065660314052,boosting,False
XGBoost (실제),0.6461857716298612,0.03102009977061081,0.10409388928346575,0.08505993425140095,boosting,False
LightGBM (실제),0.6298193703562958,0.02907410132842366,0.10647294156038718,0.08733110240480438,boosting,False
HistGradientBoost,0.6294645587122767,0.03451413807330272,0.10653099823994108,0.0870283145718113,boosting,False
Extra Trees,0.6245552965368677,0.02226725664644106,0.10729851573424766,0.08754420895061099,ensemble,False
Ridge,0.5694321582698223,0.006529703450367997,0.11490403389090822,0.09261278243694257,linear,True
Lasso,0.5691614709271826,0.010780907260635422,0.1149499264281843,0.09255874763362659,linear,True
ElasticNet,0.5688636036961578,0.009658632282275757,0.11498606354962618,0.09254945878074662,linear,True
Linear Regression,0.5688488281614948,0.005214873413906309,0.1149796439934691,0.09271838139457365,linear,True
Bayesian Ridge,0.5685284309946386,0.009716504427765674,0.11503020858070814,0.09256572842146109,robust,True
PLS (n=8),0.5679192974380671,0.008173124762688628,0.11509828213656069,0.09266449231815505,linear,True
Huber Regressor,0.5642444136473964,0.006661202880724229,0.11558372167772142,0.09279553686144261,robust,True
RANSAC + Ridge,0.5514607613998594,0.01178274403474515,0.11727325615164383,0.09380244160136167,robust,True
PCR (PCA+Ridge),0.5503328722295198,0.010449631632128364,0.11742250744566413,0.094241347076983,linear,True
TheilSen,0.5066692084846528,0.033767389062094116,0.12288372411040566,0.09820948767304909,robust,True
Decision Tree,0.5054909926834669,0.04379002636225292,0.12321998695257176,0.09488924413614798,tree,False
SVR (RBF),0.5005209029060953,0.035953781485194784,0.12380703290723162,0.0982689095421591,nonlinear,True
KNN (k=5),0.4798585027675972,0.028029222351346517,0.12618204336841055,0.10004661645339379,nonlinear,True
Kernel Ridge (RBF),0.45903956685868363,0.07029117175649618,0.12880240323654865,0.09940045993174558,robust,True
NuSVR,0.44484562034194025,0.04054002420347075,0.13053389019415654,0.10282526954349806,nonlinear,True
SVR (POLY),0.3445155650592599,0.04530641219403712,0.1417446577197347,0.10990090599868647,nonlinear,True
MLP (128-64),0.268827731952188,0.03205545217489757,0.14964816623801552,0.11822998529850333,nonlinear,True
Quantile (Q=0.1),-0.1364678589833736,0.060044046925776945,0.18659674470035187,0.1457372324825808,robust,True
