feature,GB,RF,ET,Permutation,Pearson,Ensemble_Score,rank
critical_dimension,0.9999999998432076,0.9999999998247963,0.12773573806509203,0.9999999998621661,0.9259668501273547,0.8107405175445234,1
is_advanced_node,0.1275747197996097,0.0,0.9999999997878487,0.005973698243809666,0.9999999998579154,0.42670968353783667,2
vth,0.1952779306765332,0.15909442507690594,0.13823058487335058,0.20867594299376924,0.7676905194491702,0.29379388061394585,3
oxide_thickness,0.027706760483614527,0.04879029613853531,0.04177152980799654,0.021292957354046283,0.7193647363640173,0.171785256029642,4
Swing,0.00413567772484609,0.023949132391297156,0.033877995671982505,0.0023686031627597193,0.5985112184279032,0.13256852547575776,5
node_x_cd,0.015429987545877754,0.016245879176751524,0.005617674261807354,0.00675304895593952,0.5049446033143605,0.10979823865094733,6
defect_composite,0.06648058615003326,0.054878602052401027,0.05912971036080445,0.04890752965747631,0.17083996433587298,0.08004727851131761,7
thickness_uniformity,0.04071572524122511,0.06144440084352571,0.061019341845075674,0.019465188700908992,0.17296761078396625,0.07112245348294036,8
resistance,0.006900372640229089,0.02326631870398458,0.024057512978872916,0.005540271750535672,0.28630677789704223,0.0692142507941329,9
defect_count,0.027578287750571834,0.04200832846152161,0.05039507589899739,0.006140751529359159,0.17302959916685012,0.059830408561460026,10
tech_encoded,0.0009005438036492785,0.0008553992057359131,0.0,0.00040517786917757426,0.24901902119107566,0.05023602841392768,11
dose,0.012126293869927083,0.03296164412162802,0.02938662156371889,0.008433680180039392,0.07984142185651584,0.03254993231836585,12
focus_offset,0.0023837375176954285,0.023767298968314393,0.02313042953755962,0.0015104241017991605,0.10163932444553364,0.03048624291418045,13
IR_Drop,0.0020114647255246748,0.01365596427674785,0.021152788192062167,0.0012647599318251768,0.08827655215250992,0.025272305855733958,14
leakage_current,6.18715433058906e-05,0.012630733831690909,0.022388804480762668,0.00019337858560029703,0.06495399856812493,0.02004575740189694,15
implant_energy,0.0006992632235215833,0.02752620042604391,0.0249562576301017,0.0004013523671380498,0.033615758944152474,0.017439766518191544,16
pressure,0.006473002230237311,0.032397360791349944,0.029868259749727132,0.005892465751685645,0.003507750301578881,0.01562776776491578,17
resistivity,7.218800318629887e-05,0.025070496134740616,0.02678394115605338,0.0,0.023709524812849072,0.015127230021365873,18
deposition_rate,0.0,0.024906822767829594,0.02668820471693112,6.32594800071396e-06,0.020150120238905625,0.01435029473433341,19
tilt_angle,0.0027187028756594806,0.02917679225747289,0.028529442750233554,0.0020673060819863245,0.0037737255854305256,0.013253193910156554,20
etch_rate,0.00367394274007838,0.026246096212834746,0.024215367761538327,0.0018964970473023383,0.007572341478786016,0.012720849048107963,21
exposure_time,0.004867381790370694,0.029588043251787065,0.023056390312260186,0.003777236037631095,0.0,0.012257810278409808,22
temperature,0.00019223029469245676,0.02811140432699546,0.02450207321139672,0.00010907178626257233,0.005733611700546165,0.011729678263978674,23
