model,R2_mean,R2_std,RMSE,MAE,category,use_std
SVR (RBF),0.03163352408548552,0.15380916581365775,0.08588255513542675,0.07369746718138695,nonlinear,True
Bayesian Ridge,0.01773045642730975,0.1266181567776295,0.08661283672720406,0.07374542197910437,robust,True
Lasso,-0.028655073065405823,0.1198656888876284,0.08861949644723995,0.0751253943061474,linear,True
ElasticNet,-0.04052454336829139,0.12336001913151981,0.08912822872173208,0.07539713613325492,linear,True
CatBoost,-0.049677388101223574,0.12542140904744914,0.08933235618680521,0.07496123093465165,boosting,False
Ridge,-0.05033900814722645,0.12445072892887188,0.08956024538886467,0.07535944013187448,linear,True
PLS (n=5),-0.058123597678725235,0.13197762407551603,0.08981019749449441,0.07582941006364419,linear,True
Extra Trees,-0.06306978449153774,0.1849855713060277,0.09021684328632756,0.07595800034009573,ensemble,False
Bagging (DT),-0.07090741083012342,0.24505341353628649,0.0903341201936371,0.07506744348680856,ensemble,False
Random Forest,-0.08716072956299359,0.2444743728438733,0.0908288989150354,0.07413987369928858,ensemble,False
Linear Regression,-0.10620357445636212,0.16623778610707748,0.09162857576089223,0.07784818361244068,linear,True
AdaBoost,-0.1582022921550406,0.2365380447995857,0.09499034673272017,0.07768137769644759,ensemble,False
KNN (k=5),-0.16264911683607297,0.22805271250588535,0.09288369620128935,0.07883132568030848,nonlinear,True
Huber,-0.17486240263266078,0.19398970527502749,0.09446812872148494,0.07962279364240221,robust,True
XGBoost,-0.17705999240776424,0.14933639435185508,0.09477231530352402,0.07769153002976972,boosting,False
NuSVR,-0.21009014161510148,0.1022604833988356,0.09576824682396956,0.08012575959054544,nonlinear,True
LightGBM,-0.2189485434162073,0.15684328491157057,0.09541242660440681,0.07872164402445445,boosting,False
Gradient Boosting,-0.23986645896247963,0.24224883637572972,0.0963814852764012,0.07913551223304396,boosting,False
TheilSen,-0.2504044379798741,0.1710948225351994,0.0969366870850746,0.0810876126406325,robust,True
RANSAC+Ridge,-0.5271476206224496,0.17771620679733863,0.10703688698596789,0.08743163855600565,robust,True
Decision Tree,-1.0334636295952606,0.5757951686354545,0.12354847553213436,0.10038088903591566,tree,False
Kernel Ridge,-1.3932586406129648,0.8622886007454859,0.1318709812644497,0.10233798852534717,robust,True
MLP (128-64),-2.5619574032701644,1.2881933703476354,0.1607061396790988,0.1219888747876037,nonlinear,True
