model,R2_mean,R2_std,RMSE,MAE,category
Bagging (DT),0.668631509336935,0.028144180224261028,0.10076458499780727,0.08277015441436654,ensemble
AdaBoost,0.6640159101053903,0.029264446694335228,0.10150311534475669,0.08399530141949067,ensemble
Gradient Boosting,0.6638813130765503,0.022905065594014378,0.10149490131965062,0.08284540018231629,boosting
Random Forest,0.6608265370833629,0.024510040341832687,0.10195622102266672,0.08391549690548494,ensemble
CatBoost,0.6571370262992537,0.0244934452922018,0.10253499789313,0.08443065660314052,boosting
XGBoost,0.6461857716298612,0.03102009977061081,0.10409388928346575,0.08505993425140095,boosting
HistGradientBoost,0.6294645587122767,0.03451413807330272,0.10653099823994108,0.0870283145718113,boosting
LightGBM,0.6291641295184949,0.03287423098846078,0.10657544360589657,0.08718145653512478,boosting
Extra Trees,0.6245502930608572,0.023558065158127518,0.10730570316039502,0.08742408257296974,ensemble
Ridge,0.5694328336362201,0.006585985551937123,0.11490419289651706,0.09261259048121892,linear
Lasso,0.5691396812671805,0.010743988875142767,0.11495285036875817,0.09255926046437345,linear
Linear Regression,0.5688488281614947,0.005214873413906418,0.1149796439934691,0.09271838139457365,linear
ElasticNet,0.5688406461243374,0.009635646637838452,0.11498913437865664,0.09254978157746838,linear
Bayesian Ridge,0.568544510769091,0.00969411513905321,0.11502798893942832,0.0925618946671358,robust
SVR (linear),0.5683274285770843,0.007854855057360553,0.11503229908987107,0.09259295488387764,linear
PLS (n=8),0.5679192974380671,0.008173124762688598,0.1150982821365607,0.09266449231815505,linear
Huber Regressor,0.564222917217769,0.0066544624721612735,0.11558656831670273,0.092797935689484,robust
PCR (PCA+Ridge),0.5503328722295195,0.010449631632128158,0.11742250744566415,0.09424134707698302,linear
RANSAC + Ridge,0.5502333452488443,0.012078811925233227,0.11742130842096793,0.09393070920313956,robust
TheilSen,0.5067261825895263,0.03378610638610787,0.1228762702322076,0.09821168135209113,robust
Decision Tree,0.5054909926834669,0.04379002636225292,0.12321998695257176,0.09488924413614798,tree
SVR (RBF),0.4999315838718438,0.036477674413980296,0.12387976830648485,0.09831435029878655,nonlinear
KNN (k=5),0.47579838531119634,0.024554542356938023,0.1266860523948088,0.10023594774692061,nonlinear
Kernel Ridge (RBF),0.4574788534568922,0.07193515883465626,0.12898229849874424,0.09947348101106607,robust
NuSVR,0.44335424529932155,0.039914868865172703,0.13070995698738722,0.10302796609891048,nonlinear
SVR (POLY),0.3379809771711351,0.04773672317409049,0.1424583677214453,0.11044047727025444,nonlinear
