Date,Open,High,Low,Close,Volume
04/25/2022,"550.00","552.00","546.00","547.00","48,976,359"
04/22/2022,"558.00","559.00","557.00","558.00","31,803,891"
04/21/2022,"571.00","571.00","565.00","565.00","19,006,080"
04/20/2022,"570.00","570.00","562.00","570.00","28,124,221"
04/19/2022,"566.00","569.00","563.00","565.00","17,169,240"
04/18/2022,"559.00","566.00","558.00","561.00","16,579,289"
04/15/2022,"562.00","566.00","561.00","562.00","31,339,930"
04/14/2022,"577.00","578.00","573.00","573.00","19,628,840"
04/13/2022,"564.00","576.00","563.00","573.00","36,608,129"
04/12/2022,"554.00","564.00","552.00","557.00","32,762,051"
04/11/2022,"563.00","566.00","558.00","558.00","40,970,754"
04/08/2022,"567.00","570.00","566.00","567.00","30,652,381"
04/07/2022,"571.00","573.00","566.00","566.00","47,079,930"
04/06/2022,"578.00","580.00","575.00","578.00","39,230,930"
04/01/2022,"585.00","589.00","584.00","589.00","31,247,080"
03/31/2022,"602.00","602.00","594.00","597.00","23,096,410"
03/30/2022,"599.00","600.00","597.00","600.00","42,950,539"
03/29/2022,"586.00","589.00","584.00","589.00","15,358,350"
03/28/2022,"581.00","586.00","580.00","584.00","27,815,730"
03/25/2022,"597.00","598.00","595.00","598.00","26,794,680"
03/24/2022,"587.00","592.00","585.00","591.00","20,507,670"
03/23/2022,"590.00","590.00","586.00","590.00","26,558,000"
03/22/2022,"577.00","586.00","577.00","583.00","20,872,119"
03/21/2022,"583.00","589.00","583.00","586.00","22,097,109"
03/18/2022,"582.00","582.00","576.00","581.00","47,248,441"
03/17/2022,"578.00","583.00","575.00","582.00","62,601,887"
03/16/2022,"564.00","565.00","555.00","558.00","47,154,801"
03/15/2022,"562.00","563.00","558.00","558.00","84,108,789"
03/14/2022,"574.00","577.00","572.00","572.00","36,713,551"
03/11/2022,"581.00","582.00","574.00","575.00","42,362,379"
03/10/2022,"585.00","589.00","582.00","587.00","47,540,141"
03/09/2022,"567.00","573.00","567.00","568.00","56,152,406"
03/08/2022,"561.00","570.00","561.00","563.00","87,976,406"
03/07/2022,"580.00","581.00","575.00","576.00","97,056,602"
03/04/2022,"595.00","597.00","592.00","595.00","63,227,160"
03/03/2022,"603.00","607.00","601.00","602.00","35,869,930"
03/02/2022,"601.00","605.00","600.00","601.00","42,135,152"
03/01/2022,"599.00","610.00","599.00","604.00","68,418,883"
02/25/2022,"600.00","609.00","600.00","604.00","93,137,938"
02/24/2022,"618.00","619.00","604.00","604.00","79,278,969"
02/23/2022,"624.00","629.00","623.00","625.00","33,352,328"
02/22/2022,"628.00","630.00","625.00","627.00","36,087,207"
02/21/2022,"633.00","636.00","632.00","632.00","24,938,109"
02/18/2022,"638.00","639.00","636.00","637.00","21,274,971"
02/17/2022,"644.00","646.00","641.00","645.00","18,392,340"
02/16/2022,"645.00","646.00","640.00","646.00","25,524,770"
02/15/2022,"633.00","639.00","633.00","633.00","22,711,949"
02/14/2022,"640.00","641.00","635.00","637.00","28,474,670"
02/11/2022,"646.00","650.00","642.00","650.00","27,078,680"
02/10/2022,"639.00","649.00","637.00","649.00","35,021,887"
02/09/2022,"635.00","637.00","630.00","633.00","30,653,391"
02/08/2022,"645.00","645.00","628.00","628.00","40,605,246"
02/07/2022,"644.00","644.00","631.00","635.00","57,695,039"
01/26/2022,"635.00","641.00","635.00","636.00","30,634,551"
01/25/2022,"643.00","645.00","638.00","641.00","53,480,059"
01/24/2022,"639.00","655.00","637.00","653.00","47,698,199"
01/21/2022,"644.00","646.00","637.00","641.00","51,129,102"
01/20/2022,"650.00","657.00","646.00","651.00","47,206,473"
01/19/2022,"652.00","660.00","651.00","654.00","41,390,238"
01/18/2022,"678.00","681.00","662.00","662.00","45,049,320"
