Date,Open,High,Low,Close,Volume
04/24/2023,505,510,504,507,"1,75,79,660"
04/21/2023,520,520,510,511,"2,54,08,170"
04/20/2023,512,516,510,513,"1,75,55,680"
04/19/2023,517,518,509,510,"2,22,35,920"
04/18/2023,518,520,514,515,"1,55,10,050"
04/17/2023,519,520,514,520,"1,49,44,830"
04/14/2023,516,520,513,516,"1,84,64,650"
04/13/2023,515,517,510,510,"2,72,36,430"
04-12-2023,523,524,517,520,"2,46,67,920"
04-11-2023,522,527,522,524,"2,30,87,320"
04-10-2023,533,533,528,529,"76,40,168"
04-07-2023,535,535,529,531,"87,58,272"
04-06-2023,530,531,526,530,"2,56,30,539"
03/31/2023,538,538,532,533,"2,39,36,770"
03/30/2023,536,537,531,535,"1,96,97,650"
03/29/2023,533,533,525,530,"1,75,69,189"
03/28/2023,525,530,524,525,"1,76,17,551"
03/27/2023,533,536,531,531,"1,64,44,551"
